Namespace(exp_name='LIDKNN_attnpoolk_best', model='GTNet', dataset='modelnet40', batch_size=16, test_batch_size=16, epochs=300, use_sgd=True, lr=0.01, momentum=0.9, scheduler='step', no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='', test_sampler='random_fixed')
Using GPU : 0 from 1 devices
Train 1, loss: 1.971983, train acc: 0.588821, train avg acc: 0.418543
Test 1, loss: 1.559193, test acc: 0.708266, test avg acc: 0.587308
Train 2, loss: 1.542537, train acc: 0.730285, train avg acc: 0.596517
Test 2, loss: 1.285470, test acc: 0.816045, test avg acc: 0.723866
Train 3, loss: 1.424547, train acc: 0.776626, train avg acc: 0.671049
Test 3, loss: 1.254370, test acc: 0.832658, test avg acc: 0.750494
Train 4, loss: 1.321462, train acc: 0.815549, train avg acc: 0.722285
Test 4, loss: 1.163408, test acc: 0.863857, test avg acc: 0.801913
Train 5, loss: 1.280586, train acc: 0.830691, train avg acc: 0.749732
Test 5, loss: 1.140122, test acc: 0.867909, test avg acc: 0.785006
Train 6, loss: 1.236736, train acc: 0.847256, train avg acc: 0.769092
Test 6, loss: 1.090623, test acc: 0.889789, test avg acc: 0.813924
Train 7, loss: 1.213959, train acc: 0.853963, train avg acc: 0.779116
Test 7, loss: 1.078899, test acc: 0.897083, test avg acc: 0.840797
Train 8, loss: 1.179553, train acc: 0.866463, train avg acc: 0.798374
Test 8, loss: 1.068906, test acc: 0.892220, test avg acc: 0.835378
Train 9, loss: 1.160842, train acc: 0.869715, train avg acc: 0.804189
Test 9, loss: 1.069690, test acc: 0.891005, test avg acc: 0.840837
Train 10, loss: 1.139334, train acc: 0.880589, train avg acc: 0.820360
Test 10, loss: 1.063560, test acc: 0.893436, test avg acc: 0.845727
Train 11, loss: 1.123632, train acc: 0.885264, train avg acc: 0.829265
Test 11, loss: 1.040787, test acc: 0.902350, test avg acc: 0.840331
Train 12, loss: 1.111593, train acc: 0.887398, train avg acc: 0.830635
Test 12, loss: 1.032441, test acc: 0.901135, test avg acc: 0.839924
Train 13, loss: 1.096171, train acc: 0.897256, train avg acc: 0.844433
Test 13, loss: 1.027585, test acc: 0.898703, test avg acc: 0.858413
Train 14, loss: 1.089067, train acc: 0.898476, train avg acc: 0.841132
Test 14, loss: 1.015214, test acc: 0.916937, test avg acc: 0.867709
Train 15, loss: 1.080310, train acc: 0.899898, train avg acc: 0.847504
Test 15, loss: 1.025170, test acc: 0.899919, test avg acc: 0.856756
Train 16, loss: 1.068188, train acc: 0.904878, train avg acc: 0.856296
Test 16, loss: 1.019455, test acc: 0.903566, test avg acc: 0.858709
Train 17, loss: 1.068347, train acc: 0.903252, train avg acc: 0.853307
Test 17, loss: 1.023625, test acc: 0.901945, test avg acc: 0.857326
Train 18, loss: 1.049661, train acc: 0.910772, train avg acc: 0.863228
Test 18, loss: 1.031656, test acc: 0.899109, test avg acc: 0.862669
Train 19, loss: 1.048821, train acc: 0.911585, train avg acc: 0.865307
Test 19, loss: 1.035662, test acc: 0.893031, test avg acc: 0.857994
Train 20, loss: 1.043409, train acc: 0.911585, train avg acc: 0.865674
Test 20, loss: 1.010163, test acc: 0.898703, test avg acc: 0.861756
Train 21, loss: 1.020767, train acc: 0.919106, train avg acc: 0.877769
Test 21, loss: 0.984574, test acc: 0.913290, test avg acc: 0.872331
Train 22, loss: 1.005904, train acc: 0.923171, train avg acc: 0.881031
Test 22, loss: 0.987806, test acc: 0.908023, test avg acc: 0.877203
Train 23, loss: 0.998229, train acc: 0.926626, train avg acc: 0.890825
Test 23, loss: 0.980410, test acc: 0.915316, test avg acc: 0.870663
Train 24, loss: 0.991280, train acc: 0.930081, train avg acc: 0.893819
Test 24, loss: 0.973008, test acc: 0.918963, test avg acc: 0.879035
Train 25, loss: 0.990868, train acc: 0.928963, train avg acc: 0.892708
Test 25, loss: 0.966258, test acc: 0.917747, test avg acc: 0.879285
Train 26, loss: 0.986117, train acc: 0.928455, train avg acc: 0.891047
Test 26, loss: 0.972989, test acc: 0.906402, test avg acc: 0.865959
Train 27, loss: 0.977423, train acc: 0.934248, train avg acc: 0.900001
Test 27, loss: 0.969519, test acc: 0.914100, test avg acc: 0.878953
Train 28, loss: 0.975769, train acc: 0.932825, train avg acc: 0.896001
Test 28, loss: 0.973187, test acc: 0.912075, test avg acc: 0.876337
Train 29, loss: 0.976218, train acc: 0.933130, train avg acc: 0.900199
Test 29, loss: 0.971254, test acc: 0.913290, test avg acc: 0.882413
Train 30, loss: 0.971373, train acc: 0.937093, train avg acc: 0.904138
Test 30, loss: 0.970861, test acc: 0.914100, test avg acc: 0.875953
Train 31, loss: 0.966604, train acc: 0.935772, train avg acc: 0.904429
Test 31, loss: 0.958016, test acc: 0.916532, test avg acc: 0.874209
Train 32, loss: 0.965351, train acc: 0.937907, train avg acc: 0.906999
Test 32, loss: 0.965810, test acc: 0.912885, test avg acc: 0.877663
Train 33, loss: 0.958912, train acc: 0.939126, train avg acc: 0.909317
Test 33, loss: 0.963509, test acc: 0.914506, test avg acc: 0.882203
Train 34, loss: 0.957638, train acc: 0.936789, train avg acc: 0.904855
Test 34, loss: 0.969419, test acc: 0.914911, test avg acc: 0.882453
Train 35, loss: 0.956840, train acc: 0.938618, train avg acc: 0.908349
Test 35, loss: 0.964548, test acc: 0.913290, test avg acc: 0.876250
Train 36, loss: 0.958233, train acc: 0.940549, train avg acc: 0.912429
Test 36, loss: 0.952583, test acc: 0.923015, test avg acc: 0.883453
Train 37, loss: 0.951542, train acc: 0.941362, train avg acc: 0.908736
Test 37, loss: 0.958730, test acc: 0.914506, test avg acc: 0.873465
Train 38, loss: 0.949740, train acc: 0.941565, train avg acc: 0.911073
Test 38, loss: 0.963725, test acc: 0.911264, test avg acc: 0.877715
Train 39, loss: 0.948558, train acc: 0.943293, train avg acc: 0.915038
Test 39, loss: 0.961479, test acc: 0.912885, test avg acc: 0.876000
Train 40, loss: 0.944633, train acc: 0.943699, train avg acc: 0.915658
Test 40, loss: 0.954181, test acc: 0.914100, test avg acc: 0.880953
Train 41, loss: 0.932056, train acc: 0.947358, train avg acc: 0.922148
Test 41, loss: 0.946895, test acc: 0.918152, test avg acc: 0.879372
Train 42, loss: 0.928941, train acc: 0.949390, train avg acc: 0.922407
Test 42, loss: 0.959251, test acc: 0.914100, test avg acc: 0.879785
Train 43, loss: 0.931523, train acc: 0.949187, train avg acc: 0.922750
Test 43, loss: 0.952569, test acc: 0.919773, test avg acc: 0.881535
Train 44, loss: 0.926282, train acc: 0.949390, train avg acc: 0.922556
Test 44, loss: 0.941785, test acc: 0.923015, test avg acc: 0.888826
Train 45, loss: 0.924296, train acc: 0.949898, train avg acc: 0.923262
Test 45, loss: 0.940748, test acc: 0.920583, test avg acc: 0.884750
Train 46, loss: 0.925028, train acc: 0.950610, train avg acc: 0.925745
Test 46, loss: 0.946409, test acc: 0.918152, test avg acc: 0.883372
Train 47, loss: 0.920386, train acc: 0.951118, train avg acc: 0.926324
Test 47, loss: 0.947206, test acc: 0.918963, test avg acc: 0.884750
Train 48, loss: 0.918066, train acc: 0.953659, train avg acc: 0.931840
Test 48, loss: 0.944272, test acc: 0.921394, test avg acc: 0.892494
Train 49, loss: 0.915595, train acc: 0.952033, train avg acc: 0.928870
Test 49, loss: 0.940974, test acc: 0.919368, test avg acc: 0.891041
Train 50, loss: 0.914799, train acc: 0.956402, train avg acc: 0.934324
Test 50, loss: 0.942336, test acc: 0.915721, test avg acc: 0.874994
